 ,Label,Area,Mean,Min,Max,X,Y,Slice
1,Snapshots qualité:20150225_114842_8c7f_00408ca694a0_c,0,172,172,172,1077.958,709.452,645
2,Snapshots qualité:20150226_114838_b9c8_00408ca694a0_c,0,167,167,167,1043.251,582.873,646
3,Snapshots qualité:20150226_114838_b9c8_00408ca694a0_c,0,160,160,160,953.422,750.284,646
4,Snapshots qualité:20150226_174837_acd9_00408ca694a0_c,0,143,143,143,1036.106,546.125,647
5,Snapshots qualité:20150226_234836_8483_00408ca694a0_c,0,98,98,98,843.176,436.900,648
6,Snapshots qualité:20150227_114834_b24a_00408ca694a0_c,0,175,175,175,1035.085,525.709,650
7,Snapshots qualité:20150227_114834_b24a_00408ca694a0_c,0,159,159,159,1025.898,722.722,650
8,Snapshots qualité:20150227_234833_acd9_00408ca694a0_c,0,148,148,148,1022.836,689.036,652
9,Snapshots qualité:20150227_234833_acd9_00408ca694a0_c,0,108,108,108,801.323,762.533,652
10,Snapshots qualité:20150228_054833_a831_00408ca694a0_c,0,138,138,138,1068.771,560.416,653
11,Snapshots qualité:20150228_054833_a831_00408ca694a0_c,0,111,111,111,1141.248,698.223,653
12,Snapshots qualité:20150228_174831_86d0_00408ca694a0_c,0,156,156,156,1044.272,555.312,654
13,Snapshots qualité:20150302_054826_b50c_00408ca694a0_c,0,139,139,139,1062.646,586.957,656
14,Snapshots qualité:20150302_054826_b50c_00408ca694a0_c,0,163,163,163,998.336,867.675,656
15,Snapshots qualité:20150302_114825_8359_00408ca694a0_c,0,122,122,122,1071.834,621.664,657
16,Snapshots qualité:20150302_174824_a831_00408ca694a0_c,0,161,161,161,999.357,746.200,658
17,Snapshots qualité:20150302_234824_b50c_00408ca694a0_c,0,119,119,119,807.448,826.843,659
18,Snapshots qualité:20150303_054823_a831_00408ca694a0_c,0,171,171,171,1029.981,689.036,660
19,Snapshots qualité:20150303_114821_8e1c_00408ca694a0_c,0,168,168,168,901.361,764.575,661
20,Snapshots qualité:20150303_114821_8e1c_00408ca694a0_c,0,152,152,152,1054.480,1004.461,661
21,Snapshots qualité:20150303_174820_b24a_00408ca694a0_c,0,107,107,107,747.221,991.191,662
22,Snapshots qualité:20150303_234820_abe2_00408ca694a0_c,0,175,175,175,910.548,761.512,663
23,Snapshots qualité:20150304_054819_bf19_00408ca694a0_c,0,157,157,157,970.775,768.658,664
24,Snapshots qualité:20150304_054819_bf19_00408ca694a0_c,0,138,138,138,993.233,372.590,664
25,Snapshots qualité:20150304_114818_a986_00408ca694a0_c,0,44,44,44,758.450,1074.896,665
26,Snapshots qualité:20150304_174818_9cf9_00408ca694a0_c,0,147,147,147,1021.815,857.467,666
27,Snapshots qualité:20150304_174818_9cf9_00408ca694a0_c,0,93,93,93,1495.463,792.136,666
28,Snapshots qualité:20150305_054816_bb7c_00408ca694a0_c,0,129,129,129,993.233,871.758,668
29,Snapshots qualité:20150305_114814_9cff_00408ca694a0_c,0,119,119,119,1460.756,793.157,669
30,Snapshots qualité:20150305_114814_9cff_00408ca694a0_c,0,84,84,84,1400.529,299.093,669
31,Snapshots qualité:20150305_114814_9cff_00408ca694a0_c,0,117,117,117,1024.877,242.949,669
32,Snapshots qualité:20150305_174813_86d0_00408ca694a0_c,0,127,127,127,1034.064,600.227,670
33,Snapshots qualité:20150305_174813_86d0_00408ca694a0_c,0,99,99,99,985.066,250.095,670
34,Snapshots qualité:20150305_234813_acd9_00408ca694a0_c,0,208,208,208,811.531,664.537,671
35,Snapshots qualité:20150305_234813_acd9_00408ca694a0_c,0,145,145,145,990.170,842.155,671
36,Snapshots qualité:20150306_054812_b24a_00408ca694a0_c,0,86,86,86,1146.352,286.843,672
37,Snapshots qualité:20150306_054812_b24a_00408ca694a0_c,0,159,159,159,1175.955,521.626,672
38,Snapshots qualité:20150306_054812_b24a_00408ca694a0_c,0,128,128,128,1031.002,444.045,672
39,Snapshots qualité:20150306_114811_8868_00408ca694a0_c,0,155,155,155,871.758,796.219,673
40,Snapshots qualité:20150306_234809_b24a_00408ca694a0_c,0,153,153,153,871.758,796.219,675
41,Snapshots qualité:20150307_054808_86d0_00408ca694a0_c,0,117,117,117,963.630,1050.397,676
42,Snapshots qualité:20150307_174807_8c75_00408ca694a0_c,0,175,175,175,962.609,757.429,678
43,Snapshots qualité:20150307_234807_a831_00408ca694a0_c,0,126,126,126,1043.251,588.998,679
44,Snapshots qualité:20150308_054806_b6aa_00408ca694a0_c,0,158,158,158,881.966,829.906,680
45,Snapshots qualité:20150308_054806_b6aa_00408ca694a0_c,0,119,119,119,797.240,823.781,680
46,Snapshots qualité:20150308_114804_a7c0_00408ca694a0_c,0,139,139,139,872.779,827.864,681
47,Snapshots qualité:20150308_174804_b14c_00408ca694a0_c,0,195,195,195,863.592,790.095,682
48,Snapshots qualité:20150308_234802_99f5_00408ca694a0_c,0,158,158,158,933.006,731.909,683
49,Snapshots qualité:20150309_054801_8f0c_00408ca694a0_c,0,118,118,118,794.178,828.885,684
50,Snapshots qualité:20150309_114802_a831_00408ca694a0_c,0,140,140,140,1089.187,666.578,685
51,Snapshots qualité:20150309_174800_a184_00408ca694a0_c,0,136,136,136,1099.395,486.919,686
52,Snapshots qualité:20150310_114758_b50c_00408ca694a0_c,0,145,145,145,708.431,1019.773,687
53,Snapshots qualité:20150311_234752_850c_00408ca694a0_c,0,160,160,160,617.580,1019.773,689
54,Snapshots qualité:20150311_234752_850c_00408ca694a0_c,0,152,152,152,878.904,795.198,689
55,Snapshots qualité:20150311_174754_bbff_00408ca694a0_c,0,112,112,112,860.529,759.471,688
56,Snapshots qualité:20150312_054751_bbff_00408ca694a0_c,0,162,162,162,876.862,813.573,690
57,Snapshots qualité:20150312_114751_bfe8_00408ca694a0_c,0,136,136,136,799.282,815.614,691
58,Snapshots qualité:20150312_114751_bfe8_00408ca694a0_c,0,146,146,146,1014.669,978.941,691
59,Snapshots qualité:20150312_174750_88dd_00408ca694a0_c,0,168,168,168,980.983,757.429,692
60,Snapshots qualité:20150312_174750_88dd_00408ca694a0_c,0,167,167,167,905.444,466.503,692
61,Snapshots qualité:20150312_234749_a831_00408ca694a0_c,0,146,146,146,959.546,336.862,693
62,Snapshots qualité:20150313_054749_a877_00408ca694a0_c,0,145,145,145,896.257,759.471,694
63,Snapshots qualité:20150313_054749_a877_00408ca694a0_c,0,145,145,145,896.257,759.471,694
64,Snapshots qualité:20150313_054749_a877_00408ca694a0_c,0,51,51,51,1489.338,25.520,694
65,Snapshots qualité:20150313_114748_8c7f_00408ca694a0_c,0,86,86,86,748.242,1024.877,695
66,Snapshots qualité:20150313_174747_93df_00408ca694a0_c,0,176,176,176,944.234,770.699,696
67,Snapshots qualité:20150313_234746_8c7f_00408ca694a0_c,0,157,157,157,1001.399,851.342,697
68,Snapshots qualité:20150314_054745_89a2_00408ca694a0_c,0,87,87,87,760.492,1069.792,698
69,Snapshots qualité:20150314_114744_bbd2_00408ca694a0_c,0,180,180,180,1153.497,445.066,699
